listing_id,"""name""",host_id,host_is_superhost (Star),host_identity_verified (Tick),"""neighbourhood""","""city""","""latitude""","""longitude""","""property_type""","""room_type""",accommodates,bedrooms,"""amenities""",price,review_scores_rating,review_scores_value,instant_bookable
12331902,"""Calm 1 Bedroom""",23193463,f,t,"""Gobelins""",Paris,48.83767,2.35554,Entire apartment,Entire place,2,1,"""[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed""]""",0,100,10,f
12723768,"""Two rooms flat near Champs Elysees""",16159360,f,f,"""Batignolles-Monceau""",Paris,48.88389,2.29211,Entire apartment,Entire place,2,1,"""[""Heating"", ""Iron"", ""Indoor fireplace"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace""]""",0,100,10,f
13013700,"""40m2 lovely parisien flat - southpi""",4177948,f,t,"""Opera""",Paris,48.87842,2.33371,Entire apartment,Entire place,2,1,"""[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Washer"", ""Dryer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace""]""",0,100,10,f
13135280,"""Duplex flat in central Paris overlooking a garden""",20256520,f,t,"""Opera""",Paris,48.87833,2.33197,Entire apartment,Entire place,2,1,"""[""TV"", ""Hair dryer"", ""Iron"", ""Hangers"", ""Smoke alarm"", ""Kitchen"", ""Cable TV"", ""Dedicated workspace"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Elevator"", ""Essentials"", ""Washer"", ""Wifi""]""",0,100,10,f
13147280,"""Grand 2pi Montparnasse proche St-Germain""",4674253,f,t,"""Luxembourg""",Paris,48.84477,2.32525,Entire apartment,Entire place,2,1,"""[""Washer"", ""Elevator"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Long term stays allowed"", ""TV""]""",0,100,10,f
13182340,"""Typical Parisian flat with balcony - rooftop view""",11058384,f,t,"""Temple""",Paris,48.86875,2.35471,Entire apartment,Entire place,2,1,"""[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Cable TV"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV"", ""Breakfast""]""",0,100,10,f
13331656,"""Comfortable studio flat near Place de la Nation""",10093004,f,f,"""Reuilly""",Paris,48.84614,2.40083,Entire apartment,Entire place,2,1,"""[""Shampoo"", ""Heating"", ""Washer"", ""Dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Elevator"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV""]""",0,100,10,f
13698157,"""Cosy Appartment in the Batignolles area""",9581424,f,f,"""Batignolles-Monceau""",Paris,48.88501,2.31808,Entire apartment,Entire place,2,1,"""[""Shampoo"", ""Heating"", ""Washer"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV""]""",0,100,10,f
13838085,"""Charming Flat in Downtown Paris""",6848400,f,f,"""Enclos-St-Laurent""",Paris,48.87511,2.35627,Entire apartment,Entire place,2,1,"""[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV"", ""Carbon monoxide alarm""]""",0,100,10,f
13857048,"""Charmant 2pi proche montmartre""",4928414,f,f,"""Buttes-Montmartre""",Paris,48.8956,2.33987,Entire apartment,Entire place,2,1,"""[""Iron"", ""Heating"", ""Washer"", ""Elevator"", ""Hair dryer"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Long term stays allowed"", ""Hangers""]""",0,100,10,f
13893805,"""Cosy flat at the foot of Sacre Coeur in Montmartre""",17608843,f,t,"""Buttes-Montmartre""",Paris,48.88575,2.34633,Entire apartment,Entire place,2,1,"""[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dryer"", ""Smoke alarm"", ""Wifi"", ""Dedicated workspace"", ""Kitchen"", ""Breakfast"", ""First aid kit"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""Carbon monoxide alarm""]""",0,100,10,f
14079899,"""Appart 2pi - GrenelleEffeil Tower""",38580483,f,t,"""Vaugirard""",Paris,48.85022,2.29148,Entire apartment,Entire place,2,1,"""[""Iron"", ""Shampoo"", ""Heating"", ""Hair dryer"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Long term stays allowed"", ""TV"", ""Breakfast""]""",0,100,10,f
14248895,"""Charming and calm duplex in Saint Germain""",86723201,f,t,"""Luxembourg""",Paris,48.84695,2.3188,Entire apartment,Entire place,2,1,"""[""Iron"", ""Heating"", ""Hair dryer"", ""Bathtub"", ""Wifi"", ""Dedicated workspace"", ""Kitchen"", ""Hot water"", ""Hangers"", ""Essentials"", ""Air conditioning"", ""Host greets you"", ""Long term stays allowed"", ""Luggage dropoff allowed""]""",0,100,10,f
14598274,"""Appartement lumineux et calme dans le haut marais""",29469689,f,t,"""Temple""",Paris,48.86716,2.36302,Entire apartment,Entire place,2,1,"""[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Cable TV"", ""Wifi"", ""Kitchen"", ""Fire extinguisher"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV""]""",0,100,10,f
15299395,"""Parisian cosy apartment Latin Quarter - 1 bedroom""",29650258,f,t,"""Gobelins""",Paris,48.83537,2.34676,Entire apartment,Entire place,2,1,"""[""Heating"", ""Hair dryer"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Dishes and silverware"", ""Refrigerator"", ""Cooking basics"", ""Essentials"", ""Long term stays allowed"", ""Dishwasher"", ""TV"", ""Coffee maker"", ""Microwave""]""",0,100,10,f
15473721,"""Lovely flat at the heart of the Quartier Latin""",28324675,f,t,"""Pantheon""",Paris,48.85115,2.34428,Entire apartment,Entire place,2,1,"""[""Shampoo"", ""Heating"", ""Dedicated workspace"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Hot water"", ""Hangers"", ""Essentials"", ""Host greets you"", ""Long term stays allowed"", ""Carbon monoxide alarm""]""",0,100,10,f
15641938,"""Very Charming Apartment in Heart of Paris""",10546810,f,f,"""Vaugirard""",Paris,48.83777,2.29152,Entire apartment,Entire place,2,1,"""[""Iron"", ""Heating"", ""Washer"", ""Elevator"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Long term stays allowed"", ""Hangers"", ""TV""]""",0,100,10,f
15741295,"""Charmant appartement parisien (central)""",11042692,f,t,"""Opera""",Paris,48.88261,2.3312,Entire apartment,Entire place,2,1,"""[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Elevator"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Air conditioning"", ""Long term stays allowed"", ""TV"", ""Breakfast""]""",0,100,10,f
15805091,"""Cozy Apartment Center Town near Parc Luxembourg""",102275177,f,f,"""Pantheon""",Paris,48.83985,2.34274,Entire apartment,Entire place,2,1,"""[""Iron"", ""Heating"", ""Hair dryer"", ""Dedicated workspace"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""Breakfast""]""",0,100,10,f
16170017,"""Beautiful flat near Roland Garros""",4663772,f,t,"""Passy""",Paris,48.84116,2.26235,Entire apartment,Entire place,2,1,"""[""Iron"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Long term stays allowed""]""",0,100,10,f
16371887,"""2piAFA deux pas du Marais""",15704938,f,t,"""Popincourt""",Paris,48.86215,2.36991,Entire apartment,Entire place,2,1,"""[""TV"", ""Hair dryer"", ""Kitchen"", ""Smoke alarm"", ""Long term stays allowed"", ""Elevator"", ""Essentials"", ""Heating"", ""Washer"", ""Wifi""]""",0,100,10,f
17331403,"""Designer""s space in Paris, close to Marais""",27805264,f,t,"""Popincourt""",Paris,48.86359,2.36988,Entire apartment,Entire place,2,1,"""[""Iron"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Long term stays allowed""]""",0,100,10,f
17551702,"""Nice, cosy, bright, quiet studio ""intra muros""""",31843467,f,t,"""Menilmontant""",Paris,48.87197,2.40102,Entire apartment,Entire place,2,1,"""[""Heating"", ""Washer"", ""Hair dryer"", ""Elevator"", ""Wifi"", ""Kitchen"", ""Long term stays allowed""]""",0,100,10,f
17680112,"""Appartement calme pour 2 - 15 min du sacre coeur""",2439549,f,t,"""Enclos-St-Laurent""",Paris,48.88211,2.35177,Entire apartment,Entire place,2,1,"""[""TV"", ""Hair dryer"", ""Kitchen"", ""Smoke alarm"", ""Long term stays allowed"", ""Elevator"", ""Essentials"", ""Heating"", ""Washer"", ""Wifi""]""",0,100,10,f
17843771,"""Charming, luminous flat in Montmartre""",29885525,f,t,"""Buttes-Montmartre""",Paris,48.89374,2.33416,Entire apartment,Entire place,2,1,"""[""Iron"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Elevator"", ""Breakfast"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV"", ""Carbon monoxide alarm""]""",0,100,10,f
18166061,"""Charming flat on the Gardette square (Bastille)""",7988011,f,t,"""Popincourt""",Paris,48.86314,2.3789,Entire apartment,Entire place,2,1,"""[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Private entrance"", ""Long term stays allowed"", ""Cleaning before checkout"", ""TV""]""",0,100,10,f
18269125,"""Appartement T2 au coeur du quartier Batignolles""",15958484,f,t,"""Batignolles-Monceau""",Paris,48.8896,2.32046,Entire apartment,Entire place,2,1,"""[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Private entrance"", ""Long term stays allowed"", ""Cleaning before checkout"", ""TV""]""",0,100,10,f
19322129,"""Modern and calm apartement near Mouffetard""",5218608,f,t,"""Pantheon""",Paris,48.84011,2.35212,Entire apartment,Entire place,2,1,"""[""Iron"", ""Oven"", ""Heating"", ""Washer"", ""Hair dryer"", ""Elevator"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Refrigerator"", ""Cooking basics"", ""Essentials"", ""Private entrance"", ""Long term stays allowed"", ""Dishwasher"", ""TV"", ""Stove""]""",0,100,10,f
19444880,"""Charming & cosy 2 room apartment""",6813838,f,f,"""Popincourt""",Paris,48.8582,2.38306,Entire apartment,Entire place,2,1,"""[""TV"", ""Hair dryer"", ""Iron"", ""Hangers"", ""Kitchen"", ""Dedicated workspace"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Elevator"", ""Essentials"", ""Washer"", ""Wifi""]""",0,100,10,f
19929905,"""Clean and cosy""",39907954,f,t,"""Vaugirard""",Paris,48.84339,2.28348,Entire apartment,Entire place,2,1,"""[""TV"", ""Hair dryer"", ""Iron"", ""Hangers"", ""Kitchen"", ""Dedicated workspace"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Elevator"", ""Essentials"", ""Washer"", ""Wifi""]""",0,100,10,f
19940449,"""2p avec Vue Proche Nation et Bastille""",12727022,f,t,"""Menilmontant""",Paris,48.85899,2.39228,Entire apartment,Entire place,2,1,"""[""Iron"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Long term stays allowed"", ""TV""]""",0,100,10,f
19944091,"""Trendy district - Montmartre - Moulin Rouge""",25126708,f,t,"""Buttes-Montmartre""",Paris,48.8823,2.33789,Entire apartment,Entire place,2,1,"""[""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Wifi"", ""Kitchen"", ""First aid kit"", ""Essentials"", ""Long term stays allowed"", ""Host greets you"", ""TV""]""",0,100,10,f
19967211,"""Affordable flat in the most famous area of Paris""",135107100,f,t,"""Buttes-Montmartre""",Paris,48.88328,2.34106,Entire apartment,Entire place,2,1,"""[""Iron"", ""Heating"", ""Washer"", ""Elevator"", ""Hair dryer"", ""Wifi"", ""Kitchen"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Hangers"", ""TV""]""",0,100,10,f
20202807,"""Charmant 2piAFA Denfert rochereau""",85055057,f,t,"""Observatoire""",Paris,48.83106,2.33218,Entire apartment,Entire place,2,1,"""[""Iron"", ""Heating"", ""Washer"", ""Elevator"", ""Hair dryer"", ""Wifi"", ""Kitchen"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Hangers"", ""TV""]""",0,100,10,f
20860027,"""Appartement Goncourt""",5096358,f,t,"""Popincourt""",Paris,48.86849,2.37181,Entire apartment,Entire place,2,1,"""[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dryer"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Hot water"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""Host greets you"", ""TV""]""",0,100,10,f
21156159,"""A quiet flat in the living town""",3635556,f,t,"""Enclos-St-Laurent""",Paris,48.8723,2.37481,Entire apartment,Entire place,2,1,"""[""TV"", ""Iron"", ""Kitchen"", ""Breakfast"", ""Private entrance"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Elevator"", ""Essentials"", ""Washer"", ""Wifi""]""",0,100,10,f
